timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
78621862,0,0,0,0,0
79128999,0,0,0,0,0
79635949,0,0,0,0,0
80141864,0,0,0,0,0
80652578,0,0,0,0,0
81162863,0,0,0,0,0
81669997,0,0,0,0,0
82176942,0,0,0,0,0
82682886,0,0,0,0,0
83190128,0,0,0,0,0
83696893,0,0,0,0,0
84203891,0,0,0,0,0
84712902,0,0,0,0,0
85220864,0,0,0,0,0
85727149,0,0,0,0,0
86233865,0,0,0,0,0
86740997,0,0,0,0,0
87248047,0,0,0,0,0
87754891,0,0,0,0,0
88260861,0,0,0,0,0
88767997,0,0,0,0,0
89273891,0,0,0,0,0
89781918,0,0,0,0,0
90288862,0,0,0,0,0
90794862,0,0,0,0,0
91301911,0,0,0,0,0
91809816,0,0,0,0,0
92316949,0,0,0,0,0
92823966,0,0,0,0,0
93331231,0,0,0,0,0
93836896,0,0,0,0,0
94342888,0,0,0,0,0
94849886,0,0,0,0,0
95355992,0,0,0,0,0
95863947,0,0,0,0,0
96370862,0,0,0,0,0
96878862,0,0,0,0,0
97386973,0,0,0,0,0
97894892,0,0,0,0,0
98400864,0,0,0,0,0
98909863,0,0,0,0,0
99416970,0,0,0,0,0
99924862,0,0,0,0,0
100434917,0,0,0,0,0
100942903,0,0,0,0,0
101452014,0,0,0,0,0
101958862,0,0,0,0,0
102466462,0,0,0,0,0
102974891,0,0,0,0,0
103483471,0,0,0,0,0
103989922,0,0,0,0,0
104496952,0,0,0,0,0
105004061,0,0,0,0,0
105509984,0,0,0,0,0
106016867,0,0,0,0,0
106524862,0,0,0,0,0
107032190,0,0,0,0,0
107537863,0,0,0,0,0
