timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
80400196,0.0,0.0,-4.656613e-10,0.0,0.0,5.820766e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
80405528,0.0,3.7252903e-09,6.9849193e-10,0.0,0.0,-8.1490725e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
80601522,0.0,3.7252903e-09,5.820766e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
80797453,0.0,2.3283064e-10,4.656613e-10,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
80998782,0.0,9.313226e-10,1.1641532e-10,0.0,0.0,-2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
81200097,1.3969839e-09,0.0,4.656613e-10,0.0,0.0,4.656613e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
81401334,0.0,-1.8626451e-09,-2.3283064e-10,0.0,0.0,-5.820766e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
81597342,0.0,-3.7252903e-09,1.3969839e-09,0.0,0.0,-2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
81798673,-9.313226e-10,0.0,9.313226e-10,0.0,0.0,3.4924597e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
81999958,4.656613e-10,-9.313226e-10,-4.656613e-10,0.0,0.0,3.4924597e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
82201281,3.4924597e-10,4.656613e-10,-9.313226e-10,0.0,0.0,2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
82397220,0.0,-9.313226e-10,4.656613e-10,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
82598478,0.0,-9.313226e-10,-2.3283064e-10,0.0,0.0,2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
82799787,0.0,0.0,6.9849193e-10,0.0,0.0,5.820766e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
83001069,0.0,0.0,-4.656613e-10,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
83202337,-4.656613e-10,0.0,4.656613e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
83398433,4.656613e-10,3.7252903e-09,0.0,0.0,0.0,3.4924597e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
83599704,2.7939677e-09,-3.7252903e-09,1.3969839e-09,0.0,0.0,-8.1490725e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
83800936,-9.313226e-10,-5.820766e-11,-4.656613e-10,0.0,0.0,2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
84002240,4.656613e-10,0.0,9.313226e-10,0.0,0.0,2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
84198199,0.0,2.7830538e-10,1.8626451e-09,0.0,0.0,-2.3283064e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
84399530,-9.313226e-10,-4.656613e-10,-4.656613e-10,0.0,0.0,3.4924597e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
84600912,0.0,-9.313226e-10,9.313226e-10,0.0,0.0,4.656613e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
84802161,0.0,0.0,1.1641532e-10,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
84998126,0.0,-1.8626451e-09,-1.8626451e-09,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
85199413,0.0,0.0,-4.656613e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
85400619,-5.820766e-10,-3.7252903e-09,9.313226e-10,0.0,0.0,-3.7252903e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
85601945,-1.8626451e-09,0.0,-1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
85797927,0.0,-7.450581e-09,1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
85999241,0.0,-1.4901161e-08,-6.9849193e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
86200536,0.0,-2.9802322e-08,1.3969839e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
86401879,0.0,3.7252903e-09,2.7939677e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
86597836,0.0,-2.2351742e-08,1.8626451e-08,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
86799054,2.9802322e-08,-2.2351742e-08,7.450581e-09,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
87000373,0.0,-1.4901161e-08,-4.656613e-09,0.0,0.0,7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
87201708,3.7252903e-09,0.0,-3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
87397702,-1.4901161e-08,-1.4901161e-08,0.0,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
87598940,0.0,-7.450581e-09,0.0,0.0,0.0,-3.7252903e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
87800269,0.0,7.450581e-09,3.7252903e-09,0.0,0.0,3.7252903e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88001538,7.450581e-09,0.0,-2.0954758e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88197524,-7.450581e-09,-1.4901161e-08,-1.8626451e-09,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88398855,-1.4901161e-08,1.4901161e-08,-2.7939677e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88600104,1.4901161e-08,0.0,0.0,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88801410,0.0,1.4901161e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88997420,0.0,1.4901161e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
89198724,0.0,1.4901161e-08,9.313226e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
89399988,1.4901161e-08,2.9802322e-08,7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
89601260,-1.4901161e-08,-2.9802322e-08,7.450581e-09,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
89797293,7.450581e-09,0.0,7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
89998506,0.0,0.0,-3.7252903e-09,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90199890,-2.9802322e-08,-7.450581e-09,3.7252903e-09,0.0,0.0,2.2351742e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90401135,-2.9802322e-08,0.0,1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90602369,-5.9604645e-08,0.0,4.656613e-09,0.0,0.0,1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90798436,-4.656613e-09,7.450581e-09,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90999679,0.0,0.0,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91200970,-1.4901161e-08,1.4901161e-08,-1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91402294,0.0,3.7252903e-08,-7.450581e-09,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91598226,0.0,7.450581e-09,-1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91799536,0.0,-1.4901161e-08,-4.1909516e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92000956,-2.9802322e-08,0.0,-1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92202187,-5.9604645e-08,-2.2351742e-08,-9.313226e-09,0.0,0.0,2.2351742e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92398125,0.0,-3.7252903e-08,6.519258e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92599408,-2.9802322e-08,-1.8626451e-08,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92800697,0.0,-3.3527613e-08,1.8626451e-09,0.0,0.0,1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
93001990,0.0,3.7252903e-09,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
93197995,0.0,1.4901161e-08,-3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
93399289,2.9802322e-08,1.4901161e-08,-1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
93600595,0.0,7.450581e-09,9.313226e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
93801874,0.0,-7.450581e-09,-3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
93997873,0.0,1.4901161e-08,2.2351742e-08,0.0,0.0,-1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
94199144,0.0,2.9802322e-08,-1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
94400426,0.0,0.0,3.3178367e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
94601685,-5.9604645e-08,0.0,1.1175871e-08,0.0,0.0,-1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
94797732,2.9802322e-08,-2.9802322e-08,-7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
94998987,-5.9604645e-08,-2.9802322e-08,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
95200324,0.0,-2.9802322e-08,3.259629e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
95401603,0.0,-1.4901161e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
95597571,-2.9802322e-08,2.9802322e-08,2.7939677e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
95798869,0.0,-3.7252903e-09,-1.1175871e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
96000119,-2.9802322e-08,-1.8626451e-08,1.1175871e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
96201474,0.0,-7.450581e-09,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
96397436,-2.9802322e-08,2.9802322e-08,-1.8626451e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
96598759,0.0,0.0,-3.7252903e-09,0.0,0.0,1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
96800065,-2.9802322e-08,3.7252903e-08,-2.7939677e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
97001334,0.0,-1.4901161e-08,1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
97197262,-7.450581e-09,-2.9802322e-08,-1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
97398590,0.0,7.450581e-09,1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
97599869,-2.9802322e-08,-1.4901161e-08,1.1175871e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
97801197,-5.9604645e-08,0.0,-9.313226e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
98002467,0.0,-2.9802322e-08,7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
98198449,-1.4901161e-08,0.0,-8.6729415e-09,0.0,0.0,-1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
98399812,0.0,0.0,1.3038516e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
98601069,0.0,7.450581e-09,-1.3038516e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
98802315,0.0,7.450581e-09,-3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
98998437,0.0,4.4703484e-08,-7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
99199676,-1.4901161e-08,-7.450581e-09,1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
99400936,1.4901161e-08,1.4901161e-08,4.656613e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
99602180,-1.4901161e-08,-7.450581e-09,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
