timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
80889447,80889094,0.99735224,0.0062182937,-0.0016388766,-0.07243709,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
81393161,81389356,0.99733645,0.005510013,-0.001828609,-0.0727079,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
81889433,81889068,0.9973699,0.005432518,-0.0018373779,-0.07225263,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
82389458,82389286,0.99735904,0.0060194945,-0.0012437595,-0.0723684,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
82889405,82889068,0.9973649,0.0058985106,-0.0012581256,-0.072297886,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
83389419,83389068,0.9973699,0.005964133,-0.0009378172,-0.07222805,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
83889441,83889193,0.9973873,0.0057733404,-0.0012475767,-0.07199839,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
84389413,84389088,0.9973565,0.005870221,-0.0010706172,-0.07241988,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
84893159,84889528,0.9974041,0.0058002383,-0.0010621651,-0.071765564,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
85389396,85389193,0.9974066,0.008764971,-0.018690502,-0.068948254,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
85893516,85889229,0.99764025,-0.021652423,0.003864813,-0.06504087,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
86389399,86389069,0.99760777,0.04255208,0.026179222,-0.047777895,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
86889403,86889075,0.9992589,0.0127137145,-0.020788422,-0.0297977,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
87389430,87389070,0.997888,-0.028397074,-0.029089818,-0.050665796,0.9999107,4.088229e-10,-1.9570447e-10,0.013367227,2
