timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
80891037,80891026,-1,-18.0,0,0,0,1500,1505,1000,1497,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
81400838,81400825,-1,-17.0,0,0,0,1499,1501,1000,1499,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
81890893,81890882,-1,-17.0,0,0,0,1497,1505,1000,1497,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
82400945,82400934,-1,-17.0,0,0,0,1497,1503,1131,1500,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
82890814,82890803,-1,-17.0,0,0,0,1497,1503,1252,1500,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
83400804,83400793,-1,-17.0,0,0,0,1496,1503,1345,1497,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
83890784,83890773,-1,-17.0,0,0,0,1496,1505,1463,1499,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
84400794,84400782,-1,-17.0,0,0,0,1497,1505,1527,1499,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
84890793,84890782,-1,-18.0,0,0,0,1497,1503,1616,1497,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
85400985,85400975,-1,-18.0,0,0,0,1496,1502,1689,1496,1988,1999,1500,1500,1500,1000,1000,1000,1000,1000,2000,2000,0,0,16,0,0,14,100
