timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
79530252,5,0,206,206,100,71,41
81518772,5,0,206,205,98,56,40
82496804,5,0,206,206,97,78,36
83532974,5,0,206,206,98,66,42
84460324,5,0,206,206,100,54,41
85533795,5,0,206,206,98,50,39
86477774,5,0,206,206,99,60,36
87550215,5,0,206,206,98,62,45
88475996,5,0,206,206,99,54,39
89430479,5,0,206,206,100,69,31
90441564,5,0,206,206,99,76,42
91429017,6,0,205,206,99,59,39
92488006,6,0,204,206,100,57,33
93455564,6,0,205,206,100,73,36
94531140,6,0,204,206,99,69,33
95432849,6,0,204,206,99,57,42
96518425,7,0,206,206,95,52,33
97450336,8,0,206,206,100,62,34
98523168,8,0,206,206,98,65,38
99455324,8,0,206,206,99,62,33
100524261,8,0,206,206,96,51,47
101472782,8,0,206,206,100,60,33
102542887,8,0,206,206,99,69,34
103472636,8,0,206,206,100,53,37
104429832,8,0,206,206,99,72,35
105481653,8,0,206,206,100,72,33
106433098,8,0,206,206,100,61,33
107484045,8,0,206,206,99,55,40
