timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
80397176,0.009186688,-0.019531084,-0.0037393435,5242,0,-3.9536028,0.7731837,-9.17841,5242,0,0,1,1
80402508,-0.01979186,0.018070253,0.017554333,5332,0,3.1099477,-1.1569012,-10.231014,5332,0,0,1,1
80407884,-0.020304061,-0.011333276,-0.011613029,5376,0,-3.0696647,-1.1111383,-9.872063,5376,0,0,1,1
80413121,0.005338904,-0.008288833,0.0047242236,5237,0,2.6608868,0.98325145,-9.887053,5237,0,0,1,1
80418431,-0.0022416294,0.024220657,-0.028039416,5310,0,-2.6115851,-0.13646764,-9.386167,5310,0,0,1,1
80423686,0.005725506,-0.042678405,0.004026358,5255,0,2.4238834,0.96706504,-9.646113,5255,0,0,1,1
80429007,-0.011286798,0.06115946,-0.028529877,5321,0,-1.2463332,-1.4911638,-10.1270075,5321,0,0,1,1
80434315,-0.0072116936,-0.080885,0.014679351,5308,0,0.8424242,0.49830014,-9.899377,5308,0,0,1,1
80439587,0.0075754477,0.08124704,-0.011162672,5272,0,0.65441215,0.13891658,-9.823539,5272,0,0,1,1
80508466,-0.014358507,0.071218565,0.01551625,5331,0,-0.9420523,0.38253593,-10.131959,5331,0,0,1,1
80513732,0.010191394,-0.11382206,0.032033347,5266,0,-2.2959177,-0.74422604,-8.811746,5266,0,0,1,1
80519067,0.0095005175,0.11278751,-0.0224482,5335,0,1.811348,0.8180471,-10.086698,5335,0,0,1,1
80524340,0.0031140593,-0.099254295,0.02035519,5273,0,-2.0374374,-0.26081786,-9.576412,5273,0,0,1,1
80529596,-0.0109453695,0.07913174,-0.0098463055,5256,0,4.6679745,-1.3630041,-10.635384,5256,0,0,1,1
80534950,0.009082722,-0.05409914,0.02156479,5354,0,-4.446712,-0.7774678,-9.831692,5354,0,0,1,1
80540191,-0.0133077195,0.03841554,0.045026746,5241,0,3.9991834,0.7664035,-9.763012,5241,0,0,1,1
80545562,-0.0035692237,-0.010992555,-0.010324154,5371,0,-4.402635,1.1996406,-9.093465,5371,0,0,1,1
80550864,-0.0031041577,-0.03012098,0.024614992,5302,0,5.003834,0.1789895,-10.495922,5302,0,0,1,1
80556116,-0.0043716603,0.059568252,-0.00072530884,5252,0,-4.480368,-1.2670873,-9.350424,5252,0,0,1,1
80561398,0.010375503,-0.081259064,-0.0148182865,5282,0,2.2075975,-1.118816,-10.169943,5282,0,0,1,1
80566840,0.015536139,0.09825093,-0.014765401,5442,0,-1.0781829,0.8297152,-9.677621,5442,0,0,1,1
80572002,-0.042551085,-0.09727651,0.0034355258,5162,0,1.492254,1.2897797,-9.920832,5162,0,0,1,1
80577333,0.0033026896,0.09828045,-0.039754763,5331,0,0.37772366,-1.661937,-9.967845,5331,0,0,1,1
80582574,0.039691307,-0.09670672,0.00876998,5241,0,-1.9980797,-1.0726241,-9.712857,5241,0,0,1,1
80587925,-0.01827231,0.08899486,-0.02626814,5351,0,1.3069645,-0.23262517,-9.792697,5351,0,0,1,1
80593170,-0.02287484,-0.074321315,-0.01526368,5245,0,-0.62125754,2.734617,-9.686737,5245,0,0,1,1
80598503,-0.030509165,0.055166755,0.0015620736,5333,0,2.180573,-0.4776035,-10.188225,5333,0,0,1,1
80603835,0.059536684,-0.033230856,-0.048054535,5332,0,-1.5421174,-1.6903886,-9.488128,5332,0,0,1,1
80609076,0.0044269613,0.01563967,0.015723137,5241,0,-0.7536134,-0.04107966,-9.535429,5241,0,0,1,1
80614391,-0.014699956,-0.02098981,0.0075845383,5315,0,-0.17823856,-0.73163706,-10.194085,5315,0,0,1,1
