timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
80397667,2621474,2490402,2621474,2424842,0,0.2431073,0.19894657,0.099741384,0.0,2621474,2490402,2621474,2424842,0,0.0022950908,0.0054050963,0.0038155243,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
80403020,2621474,2490402,2621474,2424842,0,0.38111937,0.33394948,0.11287599,0.0,2621474,2490402,2621474,2424842,0,0.003652889,0.005198755,0.0028537295,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
80598991,2621474,2490402,2621474,2424842,0,0.22570117,0.0273292,0.2521801,0.0,2621474,2490402,2621474,2424842,0,0.0011763162,0.004487057,0.0040808525,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
80800281,2621474,2490402,2621474,2424842,0,0.2782079,0.15315248,0.15251105,0.0,2621474,2490402,2621474,2424842,0,0.007488878,0.0021004719,0.009115931,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
81001586,2621474,2490402,2621474,2424842,0,0.36456013,0.12345465,0.29515746,0.0,2621474,2490402,2621474,2424842,0,0.004974479,0.004705922,0.0042441506,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
81197607,2621474,2490402,2621474,2424842,0,0.295143,0.12539095,0.23549049,0.0,2621474,2490402,2621474,2424842,0,0.010202296,0.003377644,0.008510521,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
81398872,2621474,2490402,2621474,2424842,0,0.14850768,0.08967095,0.15129231,0.0,2621474,2490402,2621474,2424842,0,0.010542955,0.002124588,0.009538503,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
81600130,2621474,2490402,2621474,2424842,0,0.2881963,0.05314598,0.2999424,0.0,2621474,2490402,2621474,2424842,0,0.0029411176,0.0021736894,0.0051034405,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
81801474,2621474,2490402,2621474,2424842,0,0.15140146,0.06353811,0.17033525,0.0,2621474,2490402,2621474,2424842,0,0.005068906,0.006604206,0.0037496763,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
81997436,2621474,2490402,2621474,2424842,0,0.37768197,0.13131796,0.26267132,0.0,2621474,2490402,2621474,2424842,0,0.006732212,0.0012073407,0.007525532,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
82198715,2621474,2490402,2621474,2424842,0,0.40743026,0.1309136,0.31274793,0.0,2621474,2490402,2621474,2424842,0,0.015563176,0.0042752256,0.0115697915,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
82400026,2621474,2490402,2621474,2424842,0,0.4966042,0.18732259,0.34596103,0.0,2621474,2490402,2621474,2424842,0,0.006191493,0.003113116,0.007934125,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
82601277,2621474,2490402,2621474,2424842,0,0.36259282,0.32062832,0.12472386,0.0,2621474,2490402,2621474,2424842,0,0.010585025,0.0036408007,0.0075573013,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
82797375,2621474,2490402,2621474,2424842,0,0.07417759,0.1276413,0.11165656,0.0,2621474,2490402,2621474,2424842,0,0.0056661204,0.0018775053,0.004296112,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
82998611,2621474,2490402,2621474,2424842,0,0.3801958,0.27729133,0.14956868,0.0,2621474,2490402,2621474,2424842,0,0.0046802075,0.007399007,0.004757523,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
83199815,2621474,2490402,2621474,2424842,0,0.19530363,0.061787724,0.17897795,0.0,2621474,2490402,2621474,2424842,0,0.004399899,0.0023570934,0.005464423,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
83401163,2621474,2490402,2621474,2424842,0,0.24127536,0.10127841,0.2612889,0.0,2621474,2490402,2621474,2424842,0,0.0061022914,0.006455491,0.001647381,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
83602424,2621474,2490402,2621474,2424842,0,0.47640976,0.21255288,0.29646245,0.0,2621474,2490402,2621474,2424842,0,0.013964184,0.0020194927,0.012011535,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
83798566,2621474,2490402,2621474,2424842,0,0.22401816,0.09704402,0.18681157,0.0,2621474,2490402,2621474,2424842,0,0.007793561,0.006414398,0.007810543,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
83999816,2621474,2490402,2621474,2424842,0,0.14038669,0.049703967,0.16627118,0.0,2621474,2490402,2621474,2424842,0,0.0042169103,0.0032232779,0.00717577,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
84201023,2621474,2490402,2621474,2424842,0,0.34156954,0.19165489,0.163267,0.0,2621474,2490402,2621474,2424842,0,0.005328248,0.0050898376,0.007853322,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
84402334,2621474,2490402,2621474,2424842,0,0.6382291,0.27496403,0.37391034,0.0,2621474,2490402,2621474,2424842,0,0.009540011,0.012281626,0.003311661,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
84598282,2621474,2490402,2621474,2424842,0,0.29240212,0.059871383,0.26364842,0.0,2621474,2490402,2621474,2424842,0,0.016386952,0.0031640292,0.013857874,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
84799610,2621474,2490402,2621474,2424842,0,0.35515058,0.28367037,0.21876992,0.0,2621474,2490402,2621474,2424842,0,0.007675633,0.0027617628,0.005708433,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
85000904,2621474,2490402,2621474,2424842,0,0.054707143,0.15255076,0.16080453,0.0,2621474,2490402,2621474,2424842,0,0.008368261,0.0011924173,0.008385054,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
85202122,2621474,2490402,2621474,2424842,0,0.09253969,0.07234018,0.07973159,0.0,2621474,2490402,2621474,2424842,0,0.0069402643,0.0028796904,0.008747172,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
85398215,2621474,2490402,2621474,2424842,0,0.3592404,0.18350309,0.23344764,0.0,2621474,2490402,2621474,2424842,0,0.0075968625,0.0092330435,0.004340112,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
85599632,2621474,2490402,2621474,2424842,0,0.664163,0.27922368,0.562554,0.0,2621474,2490402,2621474,2424842,0,0.018191593,0.019868908,0.004303565,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
85800733,2621474,2490402,2621474,2424842,0,0.5367448,0.4152352,0.22178775,0.0,2621474,2490402,2621474,2424842,0,0.028681723,0.013261758,0.016774971,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
86002070,2621474,2490402,2621474,2424842,0,0.7115488,0.432463,0.63083327,0.0,2621474,2490402,2621474,2424842,0,0.054282654,0.0543643,0.020462843,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
86198023,2621474,2490402,2621474,2424842,0,0.57488966,0.57809114,0.45148915,0.0,2621474,2490402,2621474,2424842,0,0.06181874,0.030582398,0.03168972,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
86399386,2621474,2490402,2621474,2424842,0,0.7601779,0.6958119,0.2989258,0.0,2621474,2490402,2621474,2424842,0,0.03518521,0.04084366,0.02508591,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
86600616,2621474,2490402,2621474,2424842,0,0.7104338,0.5937089,0.5811047,0.0,2621474,2490402,2621474,2424842,0,0.025721574,0.05523777,0.039667465,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
86801901,2621474,2490402,2621474,2424842,0,1.1856307,0.72979355,0.6922002,0.0,2621474,2490402,2621474,2424842,0,0.070192695,0.04218675,0.02857402,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
86997932,2621474,2490402,2621474,2424842,0,0.3634298,0.4237024,0.459318,0.0,2621474,2490402,2621474,2424842,0,0.044794396,0.04617639,0.025502054,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
