timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
81384986,1200.0,0.38541627,1413.6117,0.0,3332,79,40.97425,279,2,0,0,0,0.007168459,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82356246,1200.0,0.38541627,1107.0404,0.0,3367,79,67.69672,281,2,0,0,0,0.0071174377,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83365033,1200.0,0.38541627,1333.0004,0.0,3391,79,41.968525,282,2,0,0,0,0.0070921984,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84324227,1200.0,0.38541627,1020.96844,0.0,3417,79,41.631725,285,2,0,0,0,0.007017544,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85332129,1200.0,0.38541627,1111.0121,0.0,3445,79,41.588688,286,2,0,0,0,0.006993007,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86344051,1200.0,0.38541627,1348.1902,0.0,3475,79,41.66592,289,2,0,0,0,0.0069204154,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87348458,1200.0,0.38541627,1067.868,0.0,3496,79,41.95553,290,2,0,0,0,0.0068965517,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88344149,1200.0,0.38541627,905.82404,0.0,3532,79,41.669888,293,2,0,0,0,0.0068259384,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89323047,1200.0,0.38541627,1455.897,0.0,3554,79,41.625374,295,2,0,0,0,0.006779661,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90332105,1200.0,0.38541627,1044.8029,0.0,3590,79,62.86779,296,2,0,0,0,0.006756757,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90461951,1200.0,0.38541627,1044.8029,0.0,3593,79,62.86779,298,2,0,0,0,0.0067114094,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92362047,1200.0,0.38541627,1038.8467,0.0,3641,79,67.72922,302,2,0,0,0,0.0066225166,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93326977,1200.0,0.38541627,1024.7356,0.0,3669,79,20.852179,304,2,0,0,0,0.0065789474,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94375134,1200.0,0.38541627,1368.1764,0.0,3696,79,62.50552,306,2,0,0,0,0.006535948,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95381988,1200.0,0.38541627,1025.8965,0.0,3727,79,20.916336,307,2,0,0,0,0.0065146578,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95634164,1200.0,0.38541627,1328.5869,0.0,3734,79,41.611225,308,2,0,0,0,0.0064935065,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97340952,1200.0,0.38541627,1109.976,0.0,3776,79,0.0,310,4,0,0,0,0.012903226,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98346240,1200.0,0.38541627,826.94855,0.0,3806,79,62.46734,311,4,0,0,0,0.012861736,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99324985,1200.0,0.38541627,1468.6318,0.0,3834,79,41.790337,314,4,0,0,0,0.012738854,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100392051,1200.0,0.38541627,958.39075,0.0,3854,79,41.626072,316,4,0,0,0,0.012658228,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101346993,1200.0,0.38541627,1492.0635,0.0,3892,79,41.666664,319,4,0,0,0,0.012539185,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102352081,1200.0,0.38541627,974.08514,0.0,3913,79,67.7278,320,4,0,0,0,0.0125,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103334983,1200.0,0.38541627,856.5562,0.0,3949,79,41.78323,323,4,0,0,0,0.012383901,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104302976,1200.0,0.38541627,1579.2416,0.0,3973,79,41.768353,325,4,0,0,0,0.012307692,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379857,1200.0,0.38541627,965.00665,0.0,4000,79,41.69782,327,4,0,0,0,0.012232416,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106387011,1200.0,0.38541627,1011.8131,0.0,4030,79,41.70378,328,4,0,0,0,0.0121951215,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107346877,1200.0,0.38541627,1214.0149,0.0,4056,79,41.793957,332,4,0,0,0,0.012048192,0,0,1,1,1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
