timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
80241444,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
80750956,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
81262219,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
81768940,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
82275972,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
82783255,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
83288883,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
83795974,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
84303000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
84811992,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
85320027,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
85825918,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
86334005,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
86839969,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
87347283,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
87567344,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
87667348,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
88172867,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
88217165,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
88327559,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
88833866,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
89340918,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
89848381,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
90354929,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
90860922,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
91368585,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
91875970,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
92382866,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
92890204,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
93397430,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
93903317,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
94408906,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
94916289,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
95424455,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
95930860,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
96436925,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
96947370,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
97453040,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
97960890,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
98466929,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
98976063,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
99483331,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
99990867,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
100501234,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
100613131,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
100723239,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
101230868,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
101738866,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
102246133,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
102753868,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
103262113,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
103770338,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
104275990,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
104783928,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
105289867,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
105796917,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
106302866,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
106812253,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
106823568,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
106922081,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
107032441,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
107425052,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
107527227,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
