timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
80347412,0,33.6448547,-117.8420665,24.26,24.26,1710220989800000,8748291,0.036865234,12.603498,0.969002,1.2179484,0.6298828,0.97021484,-1,-1,0.09327916,0.045,0.030000001,-0.076000005,0.5880026,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
80557747,0,33.6448546,-117.8420665,24.25,24.25,1710220990000000,8748291,0.031341553,63.573116,0.969002,1.2159423,0.6298828,0.97021484,-1,-1,0.029223282,0.022000002,0.003,0.019000001,0.1355277,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
80748847,0,33.6448546,-117.8420665,24.240000000000002,24.240000000000002,1710220990200000,8748291,0.03881836,11.268029,0.969002,1.2151389,0.6298828,0.97021484,-1,-1,0.078415565,0.058000002,-0.009000001,-0.052,-0.15394467,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
80948029,0,33.6448546,-117.8420665,24.23,24.23,1710220990400000,8748291,0.038024902,358.72546,0.97000927,1.2139328,0.6298828,0.97021484,-1,-1,0.0766942,0.0050000004,-0.009000001,-0.076000005,-1.0636978,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
81146163,0,33.6448545,-117.8420665,24.23,24.23,1710220990600000,8748291,0.034973145,47.71234,0.969002,1.21192,0.6298828,0.97021484,-1,-1,0.034263685,-0.027,0.002,0.021000002,3.0676537,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
81343890,0,33.6448544,-117.8420665,24.22,24.22,1710220990800000,8748291,0.021911621,7.3528924,0.97000927,1.2111139,0.6298828,0.97021484,-1,-1,0.056612723,-0.008,0.054,-0.015000001,1.7178746,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
81552074,0,33.6448542,-117.84206640000001,24.2,24.2,1710220991000000,8748291,0.02923584,28.192705,0.97000927,1.21192,0.6298828,0.97021484,-1,-1,0.04539824,0.014,-0.029000001,-0.032,-1.1210368,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
81745810,0,33.6448542,-117.8420665,24.2,24.2,1710220991200000,8748291,0.033477783,112.341545,0.9710155,1.2131281,0.6298828,0.97021484,-1,-1,0.017291617,-0.017,-0.003,0.001,-2.9669204,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
81942573,0,33.6448541,-117.8420665,24.18,24.18,1710220991400000,8748291,0.037628174,129.7523,0.9710155,1.2139328,0.6298828,0.97021484,-1,-1,0.043474134,0.017,-0.001,0.040000003,-0.058755822,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
82144066,0,33.644854,-117.8420665,24.18,24.18,1710220991600000,8748291,0.033843994,85.249344,0.9720207,1.2151389,0.6298828,0.97021484,-1,-1,0.01994994,-0.019000001,-0.006,-0.001,-2.8357139,0,nan,nan,nan,0.0,0,3,0,0,1,23,0,0,0
