timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
80241445,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
80750958,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
81262221,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
81768942,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
82275974,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
82783256,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
83288885,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
83795976,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
84303002,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
84811993,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
85320029,80241187,0,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
85825919,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
86334007,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
86839971,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
87347285,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
87567346,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
87667349,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
88172869,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
88217166,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
88327560,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
88833868,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
89340919,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
89848383,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
90354930,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
90860924,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
91368586,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
91875971,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
92382868,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
92890206,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
93397432,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
93903319,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
94408908,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
94916291,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
95424456,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
95930862,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
96436927,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
96947371,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
97453041,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
97960891,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
98466931,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
98976065,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
99483333,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
99990868,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
100501235,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
100613133,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
100723240,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
101230870,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
101738868,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
102246134,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
102753869,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
103262115,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
103770340,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
104275991,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
104783930,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
105289979,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
105796919,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
106302868,80241187,85430435,8591223,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
